final epochs: 80
final iteration count: 666
final temperature: 0.0
final set of (7) solutions: 
decision variables: [1.373519], fitnesses: [1.886554, 0.392479]
decision variables: [0.710679], fitnesses: [0.505064, 1.662350]
decision variables: [-0.094569], fitnesses: [0.008943, 4.387217]
decision variables: [0.933742], fitnesses: [0.871875, 1.136905]
decision variables: [0.344185], fitnesses: [0.118463, 2.741724]
decision variables: [1.618001], fitnesses: [2.617927, 0.145923]
decision variables: [0.487339], fitnesses: [0.237499, 2.288145]


final epochs: 596
final iteration count: 4755
final temperature: 0.0
final set of (100) solutions: 
decision variables: [1.607631], fitnesses: [2.584477, 0.153954]
decision variables: [1.760988], fitnesses: [3.101079, 0.057127]
decision variables: [0.258463], fitnesses: [0.066803, 3.032950]
decision variables: [0.310013], fitnesses: [0.096108, 2.856056]
decision variables: [1.145517], fitnesses: [1.312209, 0.730141]
decision variables: [1.954891], fitnesses: [3.821600, 0.002035]
decision variables: [1.603713], fitnesses: [2.571895, 0.157043]
decision variables: [1.757400], fitnesses: [3.088456, 0.058855]
decision variables: [1.908982], fitnesses: [3.644212, 0.008284]
decision variables: [0.269055], fitnesses: [0.072390, 2.996171]
decision variables: [1.576644], fitnesses: [2.485808, 0.179230]
decision variables: [1.833356], fitnesses: [3.361195, 0.027770]
decision variables: [1.494603], fitnesses: [2.233837, 0.255427]
decision variables: [0.082390], fitnesses: [0.006788, 3.677228]
decision variables: [0.922108], fitnesses: [0.850284, 1.161850]
decision variables: [1.877564], fitnesses: [3.525246, 0.014991]
decision variables: [1.455089], fitnesses: [2.117283, 0.296928]
decision variables: [1.057118], fitnesses: [1.117498, 0.889027]
decision variables: [1.266391], fitnesses: [1.603747, 0.538181]
decision variables: [1.196629], fitnesses: [1.431921, 0.645405]
decision variables: [0.273868], fitnesses: [0.075004, 2.979530]
decision variables: [0.845381], fitnesses: [0.714668, 1.333146]
decision variables: [0.479054], fitnesses: [0.229493, 2.313277]
decision variables: [1.656495], fitnesses: [2.743976, 0.117996]
decision variables: [1.039555], fitnesses: [1.080675, 0.922454]
decision variables: [0.858099], fitnesses: [0.736334, 1.303938]
decision variables: [0.151194], fitnesses: [0.022860, 3.418085]
decision variables: [0.283101], fitnesses: [0.080146, 2.947743]
decision variables: [1.040102], fitnesses: [1.081812, 0.921404]
decision variables: [1.054806], fitnesses: [1.112615, 0.893392]
decision variables: [0.964486], fitnesses: [0.930232, 1.072290]
decision variables: [1.983083], fitnesses: [3.932618, 0.000286]
decision variables: [0.086735], fitnesses: [0.007523, 3.660582]
decision variables: [1.606339], fitnesses: [2.580324, 0.154969]
decision variables: [0.440534], fitnesses: [0.194070, 2.431934]
decision variables: [0.668870], fitnesses: [0.447388, 1.771906]
decision variables: [0.671193], fitnesses: [0.450500, 1.765728]
decision variables: [1.905018], fitnesses: [3.629094, 0.009022]
decision variables: [1.723178], fitnesses: [2.969342, 0.076631]
decision variables: [0.977924], fitnesses: [0.956335, 1.044639]
decision variables: [0.408063], fitnesses: [0.166516, 2.534262]
decision variables: [0.099470], fitnesses: [0.009894, 3.612013]
decision variables: [0.055956], fitnesses: [0.003131, 3.779308]
decision variables: [0.075780], fitnesses: [0.005743, 3.702623]
decision variables: [0.472239], fitnesses: [0.223009, 2.334055]
decision variables: [0.915398], fitnesses: [0.837953, 1.176363]
decision variables: [1.456225], fitnesses: [2.120591, 0.295691]
decision variables: [0.511888], fitnesses: [0.262030, 2.214477]
decision variables: [0.992250], fitnesses: [0.984560, 1.015560]
decision variables: [1.904704], fitnesses: [3.627899, 0.009081]
decision variables: [1.704778], fitnesses: [2.906269, 0.087156]
decision variables: [0.903842], fitnesses: [0.816930, 1.201562]
decision variables: [0.805762], fitnesses: [0.649252, 1.426205]
decision variables: [1.360405], fitnesses: [1.850702, 0.409081]
decision variables: [1.985457], fitnesses: [3.942040, 0.000211]
decision variables: [0.434786], fitnesses: [0.189039, 2.449896]
decision variables: [1.031683], fitnesses: [1.064369, 0.937639]
decision variables: [0.374579], fitnesses: [0.140309, 2.641994]
decision variables: [0.934384], fitnesses: [0.873073, 1.135538]
decision variables: [1.999851], fitnesses: [3.999405, 0.000000]
decision variables: [0.127156], fitnesses: [0.016169, 3.507546]
decision variables: [0.917254], fitnesses: [0.841355, 1.172339]
decision variables: [0.927022], fitnesses: [0.859370, 1.151282]
decision variables: [0.706037], fitnesses: [0.498489, 1.674340]
decision variables: [1.815404], fitnesses: [3.295693, 0.034076]
decision variables: [1.388669], fitnesses: [1.928402, 0.373726]
